403 32.5 B
352 10.4 Y
943 99.7 l
962 93.8 e
651 37.9 j
402 46.7 H
982 19.0 L
532 39.6 C
862 90.2 c
655 18.5 w
124 91.6 #
545 99.0 ?
579 27.1 P
759 81.4 Q
24 95.7 l
9 95.4 #
732 83.4 a
396 47.6 r
86 8.0 n
771 68.6 w
439 68.8 n
71 97.7 v
913 46.5 O
488 92.2 a
704 92.6 ?
548 90.8 m
559 99.3 r
547 21.8 Q
830 98.5 n
98 51.4 P
899 92.9 b
180 96.9 t
57 94.6 i
663 90.9 o
616 84.9 U
306 98.1 ?
936 99.2 a
183 78.9 i
906 86.7 f
69 92.6 #
568 12.4 c
628 95.1 ?
379 93.5 f
248 11.9 b
916 79.2 u
132 8.7 b
385 54.0 b
384 9.8 e
575 99.8 d
495 90.3 e
276 96.6 r
990 20.4 k
715 94.6 n
576 9.1 R
877 29.4 x
722 95.2 #
937 90.5 n
902 96.6 a
790 91.6 a
257 98.8 a
409 75.0 n
320 76.7 x
981 96.3 .
970 82.0 S
556 92.4 r
974 64.4 O
244 86.4 i
681 42.7 g
588 53.1 G
563 97.9 t
375 36.0 D
683 4.4 H
764 91.9 '
694 72.7 Q
537 99.4 t
557 91.0 #
761 64.8 b
734 82.2 u
530 76.4 w
467 61.5 Q
528 91.8 #
853 94.5 u
426 94.3 r
789 92.4 t
251 30.6 C
70 60.2 t
566 69.3 b
509 86.0 J
419 7.6 j
803 98.6 r
22 95.3 e
53 98.0 d
304 75.5 I
264 72.4 Y
991 45.1 m
786 97.6 ,
422 19.7 A
333 94.1 l
388 85.4 B
226 60.6 j
793 77.1 U
213 90.2 r
41 66.8 d
104 84.4 A
425 90.6 #
536 93.6 r
453 92.6 a
493 4.2 t
775 77.1 l
455 69.6 i
591 98.0 #
281 29.9 N
791 55.3 K
985 68.6 D
809 78.0 G
44 82.3 D
664 14.2 m
116 93.6 e
728 12.5 m
883 6.1 G
975 49.8 g
400 96.1 e
489 99.5 r
907 95.2 o
927 93.6 ?
258 95.8 #
418 7.2 A
757 38.5 Y
10 94.2 m
755 39.8 k
129 92.5 e
571 75.0 D
529 91.4 m
876 90.1 v
766 99.0 i
851 64.6 d
148 98.2 r
94 96.8 r
8 96.0 l
743 77.7 C
433 93.8 o
413 91.9 e
657 97.7 e
463 95.9 a
768 95.4 '
232 25.3 A
685 96.8 o
954 92.3 i
933 65.4 i
346 98.6 #
812 29.8 j
156 77.6 X
179 26.7 k
592 10.5 Q
875 91.3 #
74 95.7 t
39 46.7 L
638 99.6 '
865 29.6 U
162 48.2 E
549 19.3 H
647 0.0 g
735 25.2 t
59 97.8 #
245 98.5 a
303 94.4 a
609 93.5 v
458 93.2 ?
263 96.9 i
673 97.3 '
671 64.8 u
748 16.5 S
218 41.9 X
137 46.3 O
242 30.0 s
182 14.3 c
252 94.0 #
917 95.5 a
442 96.8 l
881 20.2 M
960 98.8 n
406 17.0 K
882 96.2 r
291 68.8 r
973 95.0 v
27 36.2 q
302 66.3 a
668 92.5 e
634 18.9 C
627 91.9 ,
487 14.2 M
195 22.0 F
864 3.8 i
135 91.1 #
746 43.8 W
770 30.7 X
666 10.3 n
325 44.3 u
941 98.1 #
723 63.2 u
854 3.4 o
553 92.9 e
307 97.0 e
727 43.0 W
478 32.5 Z
648 92.3 '
398 36.0 q
105 0.2 m
269 96.4 u
13 94.4 z
390 90.3 t
410 93.1 l
107 53.4 M
332 95.7 e
518 78.1 K
887 94.1 e
212 95.9 a
1 6.3 r
643 93.3 e
607 96.2 '
76 90.2 a
316 33.8 n
224 29.2 y
465 98.3 n
391 91.6 e
163 82.2 q
738 53.4 v
542 86.0 z
188 14.3 n
330 15.0 J
829 50.4 t
698 78.5 K
480 44.1 s
873 13.4 o
443 94.5 a
275 68.0 S
424 92.5 r
508 95.9 #
661 76.4 a
659 91.5 #
624 98.2 i
687 26.1 m
238 95.9 h
356 35.9 F
969 98.4 ,
317 13.2 M
550 95.5 a
